,taxon_id,taxon,species_y
345,62680,poicephalus senegalus,senegalus
346,76403,andrias davidianus,davidianus
347,136413,antilocapra americana,americana
348,136414,babyrousa babyrussa,babyrussa
349,136417,capricornis sumatraensis,sumatraensis
350,96606,cercocebus galeritus,galeritus
351,115461,cheirogaleus major,major
352,114152,crocodylus rhombifer,rhombifer
353,137338,encephalartos altensteinii,altensteinii
354,137339,encephalartos lehmannii,lehmannii
355,137340,encephalartos natalensis,natalensis
356,137341,encephalartos princeps,princeps
357,133209,eulemur albifrons,albifrons
358,133214,eulemur coronatus,coronatus
359,115385,eulemur fulvus,fulvus
360,133956,eulemur rubriventer,rubriventer
361,115386,eulemur rufus,rufus
362,110391,falco punctatus,punctatus
363,132523,felis nigripes,nigripes
364,115389,hapalemur griseus,griseus
365,96622,hylobates moloch,moloch
366,96675,hylobates muelleri,muelleri
367,115399,lepilemur ruficaudatus,ruficaudatus
368,98123,macrotis lagotis,lagotis
369,115401,mirza coquereli,coquereli
370,115942,monachus monachus,monachus
371,135234,nipponia nippon,nippon
372,136424,oryx leucoryx,leucoryx
373,131017,psammobates geometricus,geometricus
374,98008,pteronura brasiliensis,brasiliensis
375,135235,rhinoplax vigil,vigil
376,136426,rucervus eldii,eldii
377,134528,sanzinia madagascariensis,madagascariensis
378,84632,speothos venaticus,venaticus
379,45593,sphenodon punctatus,punctatus
380,100284,tapirus bairdii,bairdii
381,100286,tapirus pinchaque,pinchaque
382,132296,tragopan caboti,caboti
383,118279,tremarctos ornatus,ornatus
384,136896,acipenser fulvescens,fulvescens
385,98009,aonyx capensis,capensis
386,134529,apodora papuana,papuana
