species_id,year,endangered_status
137007,2013,Least Concern
137011,2019,Least Concern
137012,2020,Least Concern
137019,2020,Least Concern
137020,2013,Critically Endangered
137024,2013,Least Concern
137025,2020,Least Concern
137025,2017,Least Concern
137030,2013,Near Threatened
137031,2009,Least Concern
137034,2019,Least Concern
137035,2013,Endangered
137038,2016,Least Concern
137039,2020,Least Concern
137041,2009,Least Concern
137043,2013,Endangered
101967,2020,Critically Endangered
101967,2010,Critically Endangered
101967,2006,Critically Endangered
101967,2004,Vulnerable
101967,1996,Vulnerable
101967,1994,Rare
101967,1990,Rare
101967,1988,Rare
101967,1986,Rare
23889,2016,Least Concern
23889,2008,Least Concern
23889,1996,Lower Risk/least concern
133403,2020,Vulnerable
133403,2016,Near Threatened
133403,2013,Near Threatened
133403,2012,Near Threatened
110294,2016,Endangered
110294,2013,Endangered
110294,2012,Endangered
110294,2009,Vulnerable
110294,2008,Least Concern
110294,2004,Least Concern
110294,2000,Lower Risk/least concern
110294,1994,Lower Risk/least concern
110294,1988,Lower Risk/least concern
39591,2016,Least Concern
39591,2008,Least Concern
39591,2002,Least Concern
39591,1996,Lower Risk/least concern
116364,2017,Vulnerable
116364,2015,Vulnerable
116364,1996,Endangered
116364,1994,Vulnerable
116364,1990,Vulnerable
116364,1988,Vulnerable
116364,1986,Vulnerable
116364,1982,Vulnerable
134220,2021,Vulnerable
134220,2020,Vulnerable
108738,2015,Near Threatened
108738,2008,Near Threatened
108738,2004,Near Threatened
108738,1996,Lower Risk/near threatened
108738,1994,Vulnerable
108738,1990,Vulnerable
108738,1988,Vulnerable
108738,1986,Vulnerable
108738,1982,Vulnerable
108738,1965,"""Status inadequately known-survey required or data sought"""
34066,2016,Least Concern
34066,2012,Least Concern
34066,2009,Least Concern
34066,2008,Least Concern
34066,2004,Least Concern
34066,2000,Lower Risk/least concern
34066,1994,Lower Risk/least concern
34066,1988,Lower Risk/least concern
6342,2017,Least Concern
6342,1996,Lower Risk/least concern
6342,1988,Vulnerable
6342,1986,Vulnerable
6342,1982,Vulnerable
15391,2021,Least Concern
15391,1996,Lower Risk/least concern
15391,1994,Vulnerable
15391,1990,Vulnerable
15391,1988,Endangered
15391,1986,Endangered
15391,1982,Endangered
34064,2016,Least Concern
34064,2012,Least Concern
34064,2009,Least Concern
34064,2008,Least Concern
34064,2004,Least Concern
34064,2000,Lower Risk/least concern
34064,1994,Lower Risk/least concern
34064,1988,Lower Risk/least concern
134456,2013,Least Concern
134456,2010,Least Concern
134456,1996,Data Deficient
134456,1994,Rare
